date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:25:13	2242/2242	---MC-	200	added ('OK')	application/json	date:Sat,%2014%20Sep%2019%2021:25:13%20+0000	https://www.fige.psu.edu/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.fige.psu.edu%2F	C:/My%20Web%20Sites/fige-legacy-archive/www.fige.psu.edu/wp-json/oembed/1.0/embed611f.json	(from https://www.fige.psu.edu/)
17:25:13	135608/135608	---MC-	200	added ('OK')	application/json	date:Sat,%2014%20Sep%2019%2021:25:13%20+0000	https://www.fige.psu.edu/wp-json/	C:/My%20Web%20Sites/fige-legacy-archive/www.fige.psu.edu/wp-json/index.html	(from https://www.fige.psu.edu/)
17:25:15	2340/2340	---MCZ	200	added ('OK')	text/xml	date:Sat,%2014%20Sep%2019%2021:25:13%20+0000	https://www.fige.psu.edu/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.fige.psu.edu%2F&format=xml	C:/My%20Web%20Sites/fige-legacy-archive/www.fige.psu.edu/wp-json/oembed/1.0/embed10ea	(from https://www.fige.psu.edu/)
17:25:16	44470/44470	---MC-	200	added ('OK')	text/javascript	date:Mon,%2019%20Aug%202019%2017:22:41%20GMT	http://www.google-analytics.com/analytics.js	C:/My%20Web%20Sites/fige-legacy-archive/www.google-analytics.com/analytics.js	(from https://www.fige.psu.edu/)
17:25:16	870/870	---M--	200	added ('OK')	image/png	etag:%221571fca16d6ad8d9b2260141628e1d98%22	https://cpb-us-e1.wpmucdn.com/sites.psu.edu/dist/favicon/favicon.png	C:/My%20Web%20Sites/fige-legacy-archive/cpb-us-e1.wpmucdn.com/sites.psu.edu/dist/favicon/favicon.png	(from https://www.fige.psu.edu/)
17:25:16	50643/50643	---M--	200	added ('OK')	image/png	etag:%22592c6cf8-c5d3%22	https://sites.psu.edu/fige/wp-content/themes/Divi-PSU/images/logo.png	C:/My%20Web%20Sites/fige-legacy-archive/sites.psu.edu/fige/wp-content/themes/Divi-PSU/images/logo.png	(from https://www.fige.psu.edu/)
17:25:18	0/0	---MC-	302	error ('Found')	text/html	date:Sat,%2014%20Sep%202019%2021:25:16%20GMT	http://www.fige.psu.edu/our-program	C:/My%20Web%20Sites/fige-legacy-archive/www.fige.psu.edu/our-program.13.delayed	(from https://www.fige.psu.edu/)
17:25:18	22021/22021	---MCZ	200	added ('OK')	text/html	date:Sat,%2014%20Sep%202019%2021:25:18%20GMT	https://www.fige.psu.edu/apply/	C:/My%20Web%20Sites/fige-legacy-archive/www.fige.psu.edu/apply/index.html	(from https://www.fige.psu.edu/)
17:25:19	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2014%20Sep%202019%2021:25:19%20GMT	https://www.fige.psu.edu/our-program	C:/My%20Web%20Sites/fige-legacy-archive/www.fige.psu.edu/our-program.14.delayed	(from https://www.fige.psu.edu/)
17:25:19	0/-1	---M--	302	error ('')			http://www.fige.psu.edu/our-program	C:/My%20Web%20Sites/fige-legacy-archive/www.fige.psu.edu/our-program.15.delayed	(from https://www.fige.psu.edu/)
17:25:19	0/-1	---M--	301	error ('')			https://www.fige.psu.edu/our-program	C:/My%20Web%20Sites/fige-legacy-archive/www.fige.psu.edu/our-program.16.delayed	(from https://www.fige.psu.edu/)
17:25:19	38693/38693	---MCZ	200	added ('OK')	text/html	date:Sat,%2014%20Sep%202019%2021:25:19%20GMT	https://www.fige.psu.edu/our-team/	C:/My%20Web%20Sites/fige-legacy-archive/www.fige.psu.edu/our-team/index.html	(from https://www.fige.psu.edu/)
17:25:19	385945/385945	---M--	200	added ('OK')	image/jpeg	etag:%2200c9fc446d5d9f8f62f109dca86e84d5%22	https://sites.psu.edu/fige/files/2018/08/22180096_10100382003119674_1347271683111925528_o-2383399.jpg	C:/My%20Web%20Sites/fige-legacy-archive/sites.psu.edu/fige/files/2018/08/22180096_10100382003119674_1347271683111925528_o-2383399.jpg	(from https://www.fige.psu.edu/)
17:25:20	60090/60090	---M--	200	added ('OK')	image/jpeg	etag:%225a7fb4fab403c4699c9415f3cb0cb3dd%22	https://sites.psu.edu/fige/files/2018/08/17862436_746502672183625_2352029726626072874_n-1ibedr3.jpg	C:/My%20Web%20Sites/fige-legacy-archive/sites.psu.edu/fige/files/2018/08/17862436_746502672183625_2352029726626072874_n-1ibedr3.jpg	(from https://www.fige.psu.edu/)
17:25:20	74717/74717	---M--	200	added ('OK')	image/jpeg	etag:%221af38e4cf00b1fcaa4f6b10e2c75e569%22	https://sites.psu.edu/fige/files/2017/10/14705608_656205011213392_826681599175334482_n-2d0suv0.jpg	C:/My%20Web%20Sites/fige-legacy-archive/sites.psu.edu/fige/files/2017/10/14705608_656205011213392_826681599175334482_n-2d0suv0.jpg	(from https://www.fige.psu.edu/)
17:25:20	237562/237562	---M--	200	added ('OK')	image/jpeg	etag:%229792127bcae7490bbb924a4815c3fa32%22	https://sites.psu.edu/fige/files/2018/08/14480560_344657202544020_1795339981782436231_o-1fkimsw.jpg	C:/My%20Web%20Sites/fige-legacy-archive/sites.psu.edu/fige/files/2018/08/14480560_344657202544020_1795339981782436231_o-1fkimsw.jpg	(from https://www.fige.psu.edu/)
17:25:20	82986/82986	---M--	200	added ('OK')	image/jpeg	etag:%22a4fce0c958b8038e58d966f94e88ed85%22	https://sites.psu.edu/fige/files/2018/08/17352280_731754933658399_2317559561329594967_n-203hl1c.jpg	C:/My%20Web%20Sites/fige-legacy-archive/sites.psu.edu/fige/files/2018/08/17352280_731754933658399_2317559561329594967_n-203hl1c.jpg	(from https://www.fige.psu.edu/)
17:25:21	157236/157236	---M--	200	added ('OK')	image/jpeg	etag:%2207716774fc9dcd36515d95c7acf41608%22	https://sites.psu.edu/fige/files/2018/08/14516471_10208973789119936_725763288852847643_n-1q7iln8.jpg	C:/My%20Web%20Sites/fige-legacy-archive/sites.psu.edu/fige/files/2018/08/14516471_10208973789119936_725763288852847643_n-1q7iln8.jpg	(from https://www.fige.psu.edu/)
17:25:21	12758/12758	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225c249522-31d6%22	https://www.fige.psu.edu/wp-content/themes/divi/includes/builder/scripts/frontend-builder-global-functions.js?ver=5.1.1	C:/My%20Web%20Sites/fige-legacy-archive/www.fige.psu.edu/wp-content/themes/divi/includes/builder/scripts/frontend-builder-global-functions3c21.js	(from https://www.fige.psu.edu/)
17:25:21	62643/62643	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225cc55e2e-f4b3%22	https://www.fige.psu.edu/wp-content/themes/divi/js/custom.js?ver=5.1.1	C:/My%20Web%20Sites/fige-legacy-archive/www.fige.psu.edu/wp-content/themes/divi/js/custom3c21.js	(from https://www.fige.psu.edu/)
17:25:21	3220/3220	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225b3cd459-c94%22	https://www.fige.psu.edu/wp-content/themes/divi/includes/builder/scripts/jquery.fitvids.js?ver=5.1.1	C:/My%20Web%20Sites/fige-legacy-archive/www.fige.psu.edu/wp-content/themes/divi/includes/builder/scripts/jquery.fitvids3c21.js	(from https://www.fige.psu.edu/)
17:25:21	8841/8841	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225b3cd459-2289%22	https://www.fige.psu.edu/wp-content/themes/divi/includes/builder/scripts/waypoints.min.js?ver=5.1.1	C:/My%20Web%20Sites/fige-legacy-archive/www.fige.psu.edu/wp-content/themes/divi/includes/builder/scripts/waypoints.min3c21.js	(from https://www.fige.psu.edu/)
17:25:22	22373/22373	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225b3cd459-5765%22	https://www.fige.psu.edu/wp-content/themes/divi/includes/builder/scripts/jquery.magnific-popup.js?ver=5.1.1	C:/My%20Web%20Sites/fige-legacy-archive/www.fige.psu.edu/wp-content/themes/divi/includes/builder/scripts/jquery.magnific-popup3c21.js	(from https://www.fige.psu.edu/)
17:25:22	217766/217766	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225cc55e2e-352a6%22	https://www.fige.psu.edu/wp-content/themes/divi/includes/builder/scripts/frontend-builder-scripts.js?ver=5.1.1	C:/My%20Web%20Sites/fige-legacy-archive/www.fige.psu.edu/wp-content/themes/divi/includes/builder/scripts/frontend-builder-scripts3c21.js	(from https://www.fige.psu.edu/)
17:25:22	1360/1360	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225c24951e-550%22	https://www.fige.psu.edu/wp-content/plugins/divi-builder/core/admin/js/common.js?ver=3.21.4	C:/My%20Web%20Sites/fige-legacy-archive/www.fige.psu.edu/wp-content/plugins/divi-builder/core/admin/js/commonc6da.js	(from https://www.fige.psu.edu/)
17:25:23	1403/1403	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225cc55e26-57b%22	https://www.fige.psu.edu/wp-includes/js/wp-embed.min.js?ver=5.1.1	C:/My%20Web%20Sites/fige-legacy-archive/www.fige.psu.edu/wp-includes/js/wp-embed.min3c21.js	(from https://www.fige.psu.edu/)
17:25:23	9170/9170	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225b3cd459-23d2%22	https://www.fige.psu.edu/wp-content/themes/divi/includes/builder/scripts/jquery.easypiechart.js?ver=5.1.1	C:/My%20Web%20Sites/fige-legacy-archive/www.fige.psu.edu/wp-content/themes/divi/includes/builder/scripts/jquery.easypiechart3c21.js	(from https://www.fige.psu.edu/)
17:25:23	632483/632483	---MCZ	200	added ('OK')	text/css	etag:W/%225cc55e2e-9a6a3%22	https://www.fige.psu.edu/wp-content/themes/divi/style.css	C:/My%20Web%20Sites/fige-legacy-archive/www.fige.psu.edu/wp-content/themes/divi/style.css	(from https://www.fige.psu.edu/wp-content/themes/Divi-PSU/style.css?ver=5.1.1)
17:25:24	22449/22449	---M--	200	added ('OK')	application/octet-stream	etag:%225b3ceb68-57b1%22	https://www.fige.psu.edu/wp-includes/fonts/dashicons.eot	C:/My%20Web%20Sites/fige-legacy-archive/www.fige.psu.edu/wp-includes/fonts/dashicons.eot	(from https://www.fige.psu.edu/wp-includes/css/dashicons.min.css?ver=5.1.1)
17:25:26	2253/2253	---MC-	200	added ('OK')	application/json	date:Sat,%2014%20Sep%202019%2021:25:24%20GMT	https://www.fige.psu.edu/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.fige.psu.edu%2Four-team%2F	C:/My%20Web%20Sites/fige-legacy-archive/www.fige.psu.edu/wp-json/oembed/1.0/embede3e8.json	(from https://www.fige.psu.edu/our-team/)
17:25:26	22673/22673	---MCZ	200	added ('OK')	text/html	date:Sat,%2014%20Sep%202019%2021:25:25%20GMT	https://www.fige.psu.edu/home/	C:/My%20Web%20Sites/fige-legacy-archive/www.fige.psu.edu/home/index.html	(from https://www.fige.psu.edu/)
17:25:26	37250/37250	---MCZ	200	added ('OK')	text/html	date:Sat,%2014%20Sep%202019%2021:25:25%20GMT	https://www.fige.psu.edu/our-program/	C:/My%20Web%20Sites/fige-legacy-archive/www.fige.psu.edu/our-program/index.html	(from https://www.fige.psu.edu/)
17:25:26	25207/25207	---MCZ	200	added ('OK')	text/html	date:Sat,%2014%20Sep%2019%2021:25:25%20+0000	https://www.fige.psu.edu/events/	C:/My%20Web%20Sites/fige-legacy-archive/www.fige.psu.edu/events/index.html	(from https://www.fige.psu.edu/)
17:25:27	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2014%20Sep%202019%2021:25:27%20GMT	https://www.fige.psu.edu/?p=178	C:/My%20Web%20Sites/fige-legacy-archive/www.fige.psu.edu/indexb50d.html	(from https://www.fige.psu.edu/our-team/)
17:25:27	2350/2350	---MCZ	200	added ('OK')	text/xml	date:Sat,%2014%20Sep%202019%2021:25:27%20GMT	https://www.fige.psu.edu/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.fige.psu.edu%2Four-team%2F&format=xml	C:/My%20Web%20Sites/fige-legacy-archive/www.fige.psu.edu/wp-json/oembed/1.0/embed174b	(from https://www.fige.psu.edu/our-team/)
17:25:28	196751/196751	---M--	200	added ('OK')	image/jpeg	etag:%22f7f45c28b45c802fc7e2b829ff779990%22	https://www.fige.psu.edu/files/2017/11/123-27nq5ia.jpg	C:/My%20Web%20Sites/fige-legacy-archive/www.fige.psu.edu/files/2017/11/123-27nq5ia.jpg	(from https://www.fige.psu.edu/our-team/)
17:25:28	306898/306898	---M--	200	added ('OK')	image/jpeg	etag:%2235fbed645fda236d8a9da7e09141f5a4%22	https://www.fige.psu.edu/files/2017/11/Jim-Profile-2-1gxzgq4.jpg	C:/My%20Web%20Sites/fige-legacy-archive/www.fige.psu.edu/files/2017/11/Jim-Profile-2-1gxzgq4.jpg	(from https://www.fige.psu.edu/our-team/)
17:25:29	254771/254771	---M--	200	added ('OK')	image/jpeg	etag:%2205ef5adcbfa244d6735449689b418e92%22	https://www.fige.psu.edu/files/2017/11/received_1506350462763158-2g5l1ps.jpeg	C:/My%20Web%20Sites/fige-legacy-archive/www.fige.psu.edu/files/2017/11/received_1506350462763158-2g5l1ps.jpg	(from https://www.fige.psu.edu/our-team/)
17:25:29	151569/151569	---M--	200	added ('OK')	image/jpeg	etag:%2205cc042507806980b075019f1c0580e7%22	https://www.fige.psu.edu/files/2017/11/IMG_3971-27ysotb.jpg	C:/My%20Web%20Sites/fige-legacy-archive/www.fige.psu.edu/files/2017/11/IMG_3971-27ysotb.jpg	(from https://www.fige.psu.edu/our-team/)
17:25:29	54496/54496	---M--	200	added ('OK')	image/jpeg	etag:%22824906624c6ec82a82b17eea9063ae6e%22	https://www.fige.psu.edu/files/2017/11/Sumit-1mt5qre.jpg	C:/My%20Web%20Sites/fige-legacy-archive/www.fige.psu.edu/files/2017/11/Sumit-1mt5qre.jpg	(from https://www.fige.psu.edu/our-team/)
17:25:29	143551/143551	---M--	200	added ('OK')	image/jpeg	etag:%22ceba178545aeb9aa48aef58f96a1add1%22	https://www.fige.psu.edu/files/2017/11/17522787_1479572782055589_1997268611946123861_n-2fheham.jpg	C:/My%20Web%20Sites/fige-legacy-archive/www.fige.psu.edu/files/2017/11/17522787_1479572782055589_1997268611946123861_n-2fheham.jpg	(from https://www.fige.psu.edu/our-team/)
17:25:30	73715/73715	---M--	200	added ('OK')	image/jpeg	etag:%22170cee74f5e8d5b0c19034ca4641afcf%22	https://www.fige.psu.edu/files/2017/10/14915525_662510867249473_6892572025394003100_n-1r79prp.jpg	C:/My%20Web%20Sites/fige-legacy-archive/www.fige.psu.edu/files/2017/10/14915525_662510867249473_6892572025394003100_n-1r79prp.jpg	(from https://www.fige.psu.edu/our-team/)
17:25:30	6132787/6132787	---M--	200	added ('OK')	image/jpeg	etag:%226de8d8221bd053c44b4c1f8a15e0892b%22	https://www.fige.psu.edu/files/2017/11/DSC_0799-1mlhvtn.jpg	C:/My%20Web%20Sites/fige-legacy-archive/www.fige.psu.edu/files/2017/11/DSC_0799-1mlhvtn.jpg	(from https://www.fige.psu.edu/our-team/)
17:25:30	2238/2238	---MC-	200	added ('OK')	application/json	date:Sat,%2014%20Sep%202019%2021:25:30%20GMT	https://www.fige.psu.edu/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.fige.psu.edu%2Fapply%2F	C:/My%20Web%20Sites/fige-legacy-archive/www.fige.psu.edu/wp-json/oembed/1.0/embed9a34.json	(from https://www.fige.psu.edu/apply/)
17:25:30	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2014%20Sep%202019%2021:25:30%20GMT	https://www.fige.psu.edu/?p=253	C:/My%20Web%20Sites/fige-legacy-archive/www.fige.psu.edu/index5ed0.html	(from https://www.fige.psu.edu/apply/)
17:25:32	0/0	---MC-	302	error ('Found')	text/html	date:Sat,%2014%20Sep%202019%2021:25:32%20GMT	http://www.fige.psu.edu/robots.txt		(from https://www.fige.psu.edu/)
